config,fold_test_start,n_train,n_test,n_fraud_test,fit_secs,best_iter,test_pr_auc,test_pr_auc_cal,test_roc_auc,test_brier_cal,train_pr_auc,threshold,cost,cost_at_half,cost_approve_all,cost_oracle,threshold_oracle,fraud_dollars_caught,fraud_dollars_total,false_decline_rate,recall
C count-encoded,150,404122,48044,1473,32.6,553,0.4924267455654002,0.4700245798793141,0.8890389249080779,0.020729407551607768,0.9026218921355048,0.1046197559557959,144451.70451729148,188810.49275381863,244954.92282032967,143706.03985564262,0.1332673338966366,119888.26602435112,208129.92282032967,0.051770415065169315,0.6116768499660556
C count-encoded,166,453434,43838,1690,38.5,583,0.5502054738933754,0.530853430494913,0.8982955595189227,0.024373245669316316,0.8988056258251209,0.076,145655.91476545035,228978.88381447195,307352.43385744095,135782.01724312903,0.057,168838.93801808357,265102.43385744095,0.04318117111132201,0.6242603550295858
D regularised,118,301117,49312,1822,72.6,1266,0.5272316650895542,0.5119776876471543,0.8860206285267983,0.023737535164312307,0.8315043365168464,0.054,187604.18522901536,263677.4771444857,358856.5351600647,184821.6000423342,0.07664295932036393,214867.25128173828,313306.5351600647,0.09431459254579912,0.703622392974753
D regularised,134,356216,42470,1402,86.3,1461,0.4423889710948897,0.42372439427135944,0.8736418093397027,0.023578356098614677,0.8223835234296758,0.046,147866.73579875528,202906.5741898149,256259.0617661476,138367.77460419238,0.079,153139.74391937256,221209.0617661476,0.09727768578942242,0.6647646219686163
D regularised,150,404122,48044,1473,102.0,1581,0.47410958180251783,0.4505327739688429,0.8764502726661813,0.021199332668702147,0.8228090639544379,0.089,148160.65797471852,194104.93941241503,244954.92282032967,145941.84603434653,0.08072272945691082,114372.67199110985,208129.92282032967,0.04893603315367933,0.594704684317719
D regularised,166,453434,43838,1690,155.2,2361,0.5359392210174658,0.5194885629270437,0.8951854636774443,0.024852903453545943,0.8520129220322878,0.084,138888.1290940672,238344.48305141926,307352.43385744095,135161.2387294233,0.059000000000000004,178435.38903689384,265102.43385744095,0.048661858213912876,0.6538461538461539
BC D-norm + count,118,301117,49312,1822,25.4,413,0.5449135675289704,0.5295665341180755,0.9011909087568034,0.023072081345039384,0.922962447907703,0.051000000000000004,162254.52792955042,245511.99490396382,358856.5351600647,162254.52792955042,0.04889539589669898,235913.95830392838,313306.5351600647,0.08429142977468941,0.7156970362239298
BC D-norm + count,134,356216,42470,1402,21.5,315,0.4599883639445914,0.4400359788500892,0.8901691891406717,0.0230707443157045,0.8749249203156539,0.062,130327.77772549987,196875.43764011562,256259.0617661476,130327.77772549987,0.055185244404136094,149845.99493980408,221209.0617661476,0.06681601246712769,0.6562054208273894
BC D-norm + count,150,404122,48044,1473,44.6,845,0.5168985413825684,0.5000197657429523,0.8991716696854387,0.020289793881703325,0.9555708169566605,0.0976297713300814,135441.10008017867,168872.8973006025,244954.92282032967,135117.99105697722,0.101,127597.75600790977,208129.92282032967,0.051040346997058256,0.6456211812627292
BC D-norm + count,166,453434,43838,1690,40.1,1057,0.5669926241346865,0.5440471979339593,0.907759301823442,0.02383438624419642,0.9657030779874527,0.08356252478621783,138495.12963249983,223437.28556654454,307352.43385744095,136672.49365237058,0.057,180802.02503323555,265102.43385744095,0.05433235266204802,0.6881656804733728
BD D-norm + reg,118,301117,49312,1822,74.1,1886,0.5487682589814443,0.5318229963627008,0.8997330190722456,0.023043794945235844,0.8842241290974957,0.074,165301.35256715416,240604.0355492115,358856.5351600647,165063.44634321332,0.089,227868.49726963043,313306.5351600647,0.08090124236681406,0.7074643249176729
BD D-norm + reg,134,356216,42470,1402,83.8,1937,0.47528724575741993,0.4531412466307669,0.8797950811756904,0.022816327394499996,0.8663967029664658,0.048,139291.5678658694,193327.6429377824,256259.0617661476,130176.4871352762,0.07,165128.10889720917,221209.0617661476,0.105142690172397,0.7203994293865906
BD D-norm + reg,150,404122,48044,1473,128.3,2662,0.4967111336720588,0.47857540900775536,0.8932263861311384,0.020824697738520685,0.8874761923161091,0.095,141356.31298334152,183428.0434825301,244954.92282032967,141356.31298334152,0.074,131360.4989812374,208129.92282032967,0.0637306478280475,0.658520027155465
BD D-norm + reg,166,453434,43838,1690,182.2,2995,0.5609881334346,0.541084367180616,0.9052418274741079,0.024063993663277918,0.8914469466914876,0.08356252478621783,133261.58796540796,230540.77590438724,307352.43385744095,133248.46289044915,0.091,187152.29099535942,265102.43385744095,0.0546645155167505,0.6863905325443787
CD count + reg,118,301117,49312,1822,73.9,1206,0.5311945594706422,0.5094540485099707,0.8864384991559839,0.023795845811843987,0.8277555306874397,0.05061551757526761,192099.39321655332,256411.3214137256,358856.5351600647,191555.76564139724,0.06674356563780943,216922.938290596,313306.5351600647,0.10374815750684355,0.7113062568605928
CD count + reg,134,356216,42470,1402,66.9,1022,0.4424189702007703,0.42215742614242263,0.8770150463369824,0.02360007087869921,0.7900660616356434,0.08600000000000001,138489.69460324346,204619.00183927416,256259.0617661476,138489.69460324346,0.079,133992.18693614006,221209.0617661476,0.05176779974676147,0.5834522111269614
CD count + reg,150,404122,48044,1473,114.1,1702,0.48224079730672353,0.4662581977921384,0.8807364815649212,0.02096316999436523,0.8302110124507267,0.085,146364.6643462524,193759.9398730308,244954.92282032967,144856.36625124962,0.09269551020945146,133790.95899271965,208129.92282032967,0.07517553842520024,0.6734555329260014
CD count + reg,166,453434,43838,1690,126.7,1801,0.5489964238338041,0.5336648839854609,0.8963790317916073,0.024482695355292326,0.8278510921582488,0.06674356563780943,133285.34360790253,238875.93657588362,307352.43385744095,133285.34360790253,0.06447534712186043,183934.24500083923,265102.43385744095,0.04942108759608997,0.6668639053254438
BCD all three,118,301117,49312,1822,108.1,1987,0.5482080965528321,0.5269408948910544,0.8999263465022043,0.0231332202767998,0.8890248086986365,0.07276938295946171,164551.49583101273,241736.85707380174,358856.5351600647,164551.49583101273,0.062284211920039606,227161.24630260468,313306.5351600647,0.07843756580332702,0.7063666300768386
BCD all three,134,356216,42470,1402,108.3,1876,0.47227152992665333,0.45261004428525187,0.8810175413464771,0.022792978265164146,0.8642320462426906,0.058122802062328095,131679.30300349294,199471.4022996396,256259.0617661476,130438.15942728818,0.074,155633.02490901947,221209.0617661476,0.07789519820785039,0.6783166904422254
BCD all three,150,404122,48044,1473,200.7,2998,0.5010517588562121,0.48135296319644694,0.8915282584754084,0.020641089719377614,0.8976992759217405,0.0679074248764751,145582.58767623157,181233.53631102294,244954.92282032967,141717.66032411606,0.112,131344.94898867607,208129.92282032967,0.06899143243649482,0.6707399864222675
BCD all three,166,453434,43838,1690,188.7,2994,0.5615473427422659,0.5472873495008392,0.9046175129285196,0.02406207742287809,0.8915678084364507,0.094,136276.46071403025,223585.53394105434,307352.43385744095,131576.4305842012,0.08,174056.4890215397,265102.43385744095,0.037605580335959,0.6319526627218935
