feature,gain,pct_of_total_gain,cum_pct
v133,995.7152094841003,0.14353816987034254,90.4382221273068
v29,960.8078351020813,0.13850606773305577,90.57672819503986
v19,960.6686334609985,0.13848600100251507,90.71521419604238
id_03,955.1196897029877,0.13768608831246887,90.85290028435485
v131,916.1333439350128,0.13206597859819938,90.98496626295305
d13,879.008793592453,0.12671425758131205,91.11168052053436
v333,872.8595762252808,0.12582781194041825,91.23750833247479
v49,861.2078852653503,0.12414815255553271,91.36165648503032
id_18,855.9624495506287,0.1233919923246834,91.48504847735501
v259,837.8403046131134,0.12077957916308896,91.60582805651809
v165,828.0802607536316,0.11937261176909872,91.72520066828719
v127,827.2757532596588,0.11925663730950231,91.84445730559669
v318,823.1678483486176,0.11866445879569036,91.96312176439238
v261,782.1810586452484,0.11275597339058101,92.07587773778296
v66,781.3582124710083,0.11263735530298905,92.18851509308595
d9,777.9157466888428,0.11214110373074547,92.3006561968167
v223,762.24627161026,0.10988225727125024,92.41053845408796
v55,749.2133796215057,0.10800348968151655,92.51854194376948
v267,746.7119772434235,0.10764289790181952,92.6261848416713
v48,728.8290390968323,0.10506496779789334,92.73124980946919
v160,728.778546333313,0.10505768897077668,92.83630749843996
v143,717.9870994091034,0.10350203879389876,92.93980953723387
v289,696.6029133796692,0.10041938333418929,93.04022892056805
id_38,695.4691209793091,0.10025594052985078,93.1404848610979
v311,677.7689349651337,0.09770435521445148,93.23818921631235
v56,677.4660124778748,0.09766068716658038,93.33584990347893
v262,675.9337012767792,0.09743979554678577,93.43328969902572
v44,649.0318350791931,0.09356173422632143,93.52685143325205
v264,648.7330710887909,0.09351866565008896,93.62037009890214
v323,638.912299156189,0.09210294394925234,93.7124730428514
v24,623.7224893569946,0.08991324404461333,93.80238628689601
v99,612.1486625671387,0.08824480923515308,93.89063109613116
v74,611.9286847114563,0.08821309814094072,93.9788441942721
m2,607.3641214370728,0.08755508965375304,94.06639928392585
v128,596.9920740127563,0.08605989836721424,94.15245918229306
v58,595.8784666061401,0.08589936534775523,94.23835854764081
v245,591.3459506034851,0.08524597666218295,94.323604524303
v291,567.3480889797211,0.08178654458213916,94.40539106888514
v102,563.1967673301697,0.08118810729159254,94.48657917617673
v136,554.8125996589661,0.07997948049554893,94.56655865667229
